,Longitude,Latitude,Type_logement,type_propriete,NbChambres,Capacite_accueil,Desc_pre,Titre_pre,Reg_pre
0,-0.5935012243,44.8491011848,1,9,1,2,547.4157469419381,2.8284271247461903,70.24243731534378
1,-0.5746012864,44.856533426599995,2,0,1,2,1656.2735281347705,5.196152422706632,54.0277706369604
2,-0.59330874,44.8306341032,1,9,1,2,1204.8223935501862,5.0990195135927845,52.009614495783374
3,-0.5660317508,44.836382736400004,2,0,2,4,3745.4533770960225,0.0,136.31947769852994
4,-0.5737127741,44.837694915,2,0,1,4,2751.3344035213167,9.486832980505138,70.12132343303284
5,-0.5685133471,44.8390467297,2,0,1,2,3850.9732536074566,0.0,124.73572062564917
6,-0.5803402137,44.8473424079,2,0,1,3,5079.914172503311,0.0,128.21466374795045
7,-0.5698886897,44.8381476992,2,0,2,6,4644.904842943502,0.0,128.0585803450905
8,-0.5765635766,44.8426690463,2,0,0,3,4210.679755098932,12.165525060596439,97.15451610707554
9,-0.5883284912,44.8402957204,1,3,1,2,5975.429273282381,10.04987562112089,88.97752525216691
10,-0.5886080261,44.8390150508,1,3,1,2,5857.396862088141,10.04987562112089,88.97752525216691
11,-0.5876136052,44.8396478789,1,3,1,2,6195.567931997841,10.04987562112089,118.59595271340417
12,-0.5894544172,44.844674314799995,2,0,1,3,4708.270276863893,18.24828759089466,221.15831433613343
13,-0.5605836332999999,44.833557011,2,0,2,6,5329.505324136566,13.038404810405298,27.018512172212592
14,-0.5663536514999999,44.8243086462,2,0,1,3,6655.92014675657,15.329709716755891,241.83465425782137
15,-0.5583147829999999,44.843899363,2,0,1,2,6202.249350034228,28.460498941515414,78.40918313565064
16,-0.5703311534000001,44.8338499195,2,0,1,3,7567.989098829358,33.76388603226827,342.78564730746825
17,-0.56910126,44.8389417801,2,0,1,4,6385.827041190514,25.475478405713993,0.0
18,-0.5851796491,44.8563612155,1,3,1,2,5778.913738757484,39.89987468652001,138.17018491700733
19,-0.5823985035,44.8557523021,1,0,1,1,5795.038826444565,32.58834147360065,52.009614495783374
20,-0.5775876693,44.854613118500005,2,9,3,8,9441.436966902867,25.019992006393608,52.009614495783374
21,-0.5701539059,44.8341158429,2,0,1,4,10967.265201498503,7.0710678118654755,747.184716117775
22,-0.5800383527,44.8452083694,2,0,0,2,8247.76212072099,39.01281840626232,513.4043240955417
23,-0.5953412131,44.8296818567,2,9,3,6,13237.713737651226,40.4103947023535,266.3794286351707
24,-0.6066082501,44.83034912189999,2,9,2,5,6070.310453345858,29.03446228191595,146.00342461736986
25,-0.5627989309,44.8311791374,2,0,2,4,11626.583763083634,30.066592756745816,265.7404748998541
26,-0.5655769564,44.825453942399996,2,10,3,6,8005.188692341986,31.811947441173732,273.2178617879878
27,-0.5727194805,44.8605792428,2,0,2,4,6747.673525001043,45.98912915026767,152.00328943809077
28,-0.5731146564,44.839112952200004,2,0,0,2,9063.329520656302,40.311288741492746,0.0
29,-0.5949747709000001,44.8276738021,1,3,1,2,9953.409968447999,36.42801120017397,136.23142075160195
30,-0.5779609439,44.8565741047,2,8,2,5,9890.426482209956,68.81133627535509,455.83549664325176
31,-0.5730139649,44.8397764657,1,3,1,2,9859.714296063552,22.045407685048602,740.7442203621977
32,-0.5681724263,44.853550407700006,2,0,3,6,6248.1891776738,38.01315561749642,71.43528539874394
33,-0.5718636146,44.8538472579,2,0,3,7,7997.321926745228,0.0,146.00342461736986
34,-0.5677732879999999,44.8377253357,2,0,2,4,11180.220928049677,69.67783004657937,52.009614495783374
